Gaussian,Atom,01,02,03
1,C,156.20584856590682,162.402879842962,151.58147640113583
2,C,114.04464347736538,113.42299228871997,112.54120155785034
3,C,119.98281859481197,117.63638888992368,122.31761180673459
4,C,155.28056171840956,156.00703625026108,160.55946489364374
5,C,153.87480997300224,152.15665417769299,148.92720143141764
6,C,159.78633446089705,158.6072345338468,166.13882156699464
7,C,153.816715909199,153.29229591444565,156.87679242391368
8,C,59.533247835182706,59.95229798919626,58.997888596468144
9,C,67.90054880363219,67.24388415195705,72.83612075993352
10,C,166.0166750945273,165.763798392806,166.41957378526536
11,C,158.65434044658335,161.78012388577918,162.8812882991925
12,C,116.7496001406434,117.09940055979719,111.12055739898473
13,C,156.80629427633744,156.3795559841941,161.89588519606951
14,C,46.449963585096505,45.00297160676622,44.41651389225353
15,C,175.57269567516562,175.90181106191565,172.48120251256586
16,C,86.94314433386084,88.53065329812688,82.84654619937913
17,O,281.5885273749616,287.99827479964944,272.5404004952409
18,C,114.97565866868634,115.07597534946352,115.47495161048607
19,O,253.5163925421912,240.3710109718052,237.85965520688308
20,C,160.39926882025975,161.14548308580578,162.15583399540282
21,C,167.99943717988089,165.4878993559714,160.040884187049
22,O,260.1571483070442,275.6411751099862,289.1216457313814
23,C,165.67176022541955,163.44755760155007,168.48486508099813
24,H,30.18149393927943,30.21454184809081,30.309298734119885
25,H,30.238763108485358,30.35480956514555,30.15656278493625
26,H,27.837308678263767,27.513000176003096,27.750641974036263
27,H,30.596418645383633,30.185820496033088,30.068509741065668
28,H,29.255499431143548,29.872545335700494,30.128577713332586
29,H,29.573257479685964,29.459459662988127,30.000356307225665
30,H,29.981546549878395,30.053136636363664,29.714551870684232
31,H,30.683395389976333,30.691280181849216,30.161890599904154
32,H,29.710086298039435,29.700824092610414,29.475472029449787
33,H,29.781063460219023,29.831933328687825,30.027525048164954
34,H,25.999483739918638,25.940443931255757,25.71090562761092
35,H,29.320556607973177,29.338785621012818,29.297932164776633
36,H,29.34216282128193,29.234530745819875,29.2207950735231
37,H,30.234952751394307,30.03653569909162,29.5737407266949
38,H,29.709149726736182,29.653021351372555,30.214357063975946
39,H,27.215287768028585,27.413351676437966,27.552329341701796
40,H,29.703355169314502,29.737418767528517,29.26220845068576
41,H,29.371759012548758,29.35997756182946,29.541288912282546
42,H,30.39854733707199,30.492574482133758,29.94915630722567
43,H,29.935605945707906,30.086143980637193,30.262348079660555
44,H,29.99659752815067,29.791454004652447,29.957924656884295
45,H,26.2905105073891,26.432664136354518,26.40167720420275
46,H,26.3630614180007,26.33191162957749,26.391381044881637
47,H,31.485039449115593,30.735081510150977,31.046297828403972
48,H,30.544364980012435,30.546520195700445,30.65537824034555
49,H,30.539554932434665,30.794437120723508,30.27497968630776
50,H,30.723878057726584,30.57171891454266,30.82996342383735
51,H,30.961233182805493,30.778645235409194,30.602688993054223
52,H,29.45306136240867,30.597197393815097,30.84725814977396
53,H,30.81796159580701,30.70387717444723,30.074239001995785
54,H,30.939751236923527,31.008152616328765,30.885390867374596
55,H,30.902761825107014,31.003872070754422,30.207972345919814
56,H,30.61534244958852,30.314651599587812,30.448844592529205
57,H,30.321284596126624,30.332683648124053,31.01533979647919
