Gaussian,Atom,05_lsw3_2R3S5R12S_19_DP4J,05_lsw3_2R3S5R12S_20_DP4J,05_lsw3_2R3S5R12S_21_DP4J,05_lsw3_2R3S5R12S_22_DP4J,05_lsw3_2R3S5R12S_23_DP4J,05_lsw3_2R3S5R12S_24_DP4J
1,C,153.0123,158.2613,153.3363,151.6437,154.2884,155.4269
2,C,114.8204,111.7462,114.6884,113.3163,114.0452,113.7323
3,C,119.579,123.5143,119.6053,123.4001,123.2622,123.4435
4,C,154.4838,157.5337,156.1575,155.2237,156.3286,156.5645
5,C,153.3267,155.0264,154.4828,153.241,153.3734,153.1992
6,C,158.6958,159.8481,162.4302,160.8171,159.7879,159.8294
7,C,152.7338,153.1785,158.6592,153.3099,153.0067,153.1137
8,C,59.5807,59.7709,61.8281,59.5368,59.39,59.1447
9,C,67.2331,66.8679,69.4331,66.9822,68.6172,68.7405
10,C,166.4364,165.3881,165.6839,158.3122,166.8088,166.7397
11,C,158.2336,159.2516,157.7805,159.1109,150.4718,153.357
12,C,111.7619,117.7557,112.1847,114.7488,116.2022,116.1929
13,C,159.0835,156.7401,160.195,156.5477,155.5805,154.9071
14,C,45.9793,48.0458,45.9566,44.8933,42.3181,41.6984
15,C,176.3209,176.0426,172.0926,176.4103,176.9458,177.0124
16,C,85.3962,86.3637,85.3451,82.9334,87.968,87.8628
17,O,275.5939,281.9062,275.5266,270.6849,289.9221,296.5956
18,C,115.2312,114.0601,114.79,115.1186,115.0301,114.9154
19,O,253.9552,250.5934,252.5475,244.1682,240.0142,239.4552
20,C,160.3832,160.4284,160.4845,167.9133,159.3303,159.2692
21,C,168.4727,165.2784,168.7931,159.8199,167.921,167.9826
22,O,258.7859,271.4692,259.8407,258.8386,261.285,261.6081
23,C,165.4606,165.1732,164.9899,165.7607,167.0865,167.0899
24,H,30.3295,30.0764,30.3717,30.2279,30.1975,30.4626
25,H,30.7603,29.47,30.7108,29.9509,29.8468,30.071
26,H,27.836,28.1242,27.8636,27.6876,27.6699,27.6659
27,H,30.674,30.2595,30.6939,30.591,30.7418,30.719
28,H,29.2103,29.3467,29.4975,29.1885,29.3058,29.3294
29,H,29.7103,29.5495,29.3522,29.7892,29.696,29.8031
30,H,29.9801,29.9727,29.6925,29.8692,29.8913,29.9001
31,H,30.6987,30.6653,30.6304,30.6835,30.6734,30.6628
32,H,29.7091,29.622,29.6666,29.5984,29.6701,29.6666
33,H,29.8492,29.6946,29.8488,29.719,29.7207,29.7221
34,H,25.9377,26.2976,26.3251,26.2232,25.6651,25.6661
35,H,29.3403,28.9617,29.6399,29.2273,29.3504,29.3271
36,H,29.3577,29.745,28.9758,29.5124,29.4549,29.4459
37,H,30.4563,30.1874,30.5072,30.6209,30.0333,30.3859
38,H,29.6686,30.291,29.6302,29.83,30.4013,29.8345
39,H,27.4609,27.3403,27.4491,27.5764,26.9619,27.261
40,H,29.5734,29.3621,29.3008,29.4923,29.3098,29.8026
41,H,29.2033,29.9365,29.2582,29.2881,29.2362,29.1565
42,H,30.0689,30.085,30.3721,30.5547,30.5668,30.5529
43,H,29.7244,29.6442,30.3815,30.123,30.0603,30.0843
44,H,30.5489,30.5266,29.6205,29.7427,29.6912,29.7146
45,H,26.6118,26.1009,26.7592,26.4829,26.6491,26.6731
46,H,26.5269,26.2922,26.6079,26.3903,26.4461,26.4274
47,H,31.4009,31.5264,31.4552,31.2503,31.6966,30.7601
48,H,30.4326,30.3718,30.3349,30.8713,30.879,30.3605
49,H,30.5545,30.5466,30.4707,30.8711,30.3672,30.4936
50,H,30.7051,30.7181,30.3722,29.4586,30.5057,30.9488
51,H,30.9986,30.7633,30.9356,30.9012,30.8871,30.8777
52,H,29.2085,30.2811,29.3002,30.5131,30.9484,30.9447
53,H,30.8928,30.7314,30.9255,30.3687,29.3022,29.2758
54,H,31.1368,29.6587,31.1795,31.2841,31.2629,31.2026
55,H,30.1246,30.7033,31.1362,30.6172,30.9948,30.9706
56,H,31.1496,31.0725,30.4617,31.1403,30.098,30.0695
57,H,30.4498,30.285,30.1565,29.9854,30.8502,30.8113
