Gaussian,Atom,06_lsw3_2R3R5R12S_25_DP4J,06_lsw3_2R3R5R12S_26_DP4J,06_lsw3_2R3R5R12S_27_DP4J,06_lsw3_2R3R5R12S_28_DP4J
1,C,158.0672,159.9545,158.1464,155.3973
2,C,114.0033,113.5721,113.9391,113.8437
3,C,117.7572,117.5531,117.7466,116.901
4,C,155.8807,156.638,157.1034,157.3352
5,C,151.8847,152.1624,153.3413,152.3543
6,C,158.3191,159.2417,162.2583,160.4813
7,C,153.0178,153.4326,158.6041,152.9766
8,C,59.9321,59.425,61.8673,60.039
9,C,67.1146,67.1334,69.5036,66.5444
10,C,166.3623,165.723,165.5609,165.5502
11,C,158.1583,155.6127,157.6472,158.3961
12,C,111.587,116.0916,111.922,117.4086
13,C,159.1235,153.6214,160.2443,157.2154
14,C,46.2741,37.2702,46.1271,48.0461
15,C,176.3808,175.0334,172.1137,175.956
16,C,85.1919,86.3451,85.0212,86.5668
17,O,275.1053,260.1922,275.1029,281.2562
18,C,115.213,114.8622,114.7623,114.4222
19,O,240.1435,241.2364,238.6463,226.3159
20,C,161.2911,161.2369,161.4505,160.5911
21,C,165.5067,165.311,165.9103,165.0609
22,O,275.8146,275.2181,275.4412,272.9823
23,C,163.2537,164.2072,162.9627,161.8015
24,H,30.1277,30.2964,30.1289,30.1579
25,H,30.4335,30.0771,30.4334,29.5623
26,H,27.5339,27.5782,27.6001,27.6537
27,H,30.1938,30.2022,30.1844,30.1629
28,H,29.8465,29.903,30.1356,29.7798
29,H,29.4831,29.4345,29.1357,29.251
30,H,30.0585,30.0747,29.7581,29.9535
31,H,30.6945,30.7424,30.6808,30.7161
32,H,29.7152,29.7359,29.6692,29.6299
33,H,29.8051,29.6812,29.8252,29.7249
34,H,25.862,26.2973,26.35,26.2358
35,H,29.3301,29.0493,29.6416,28.937
36,H,29.3269,29.7135,28.9515,29.7391
37,H,30.503,29.878,30.5481,29.2523
38,H,29.7184,29.7808,29.6874,30.3316
39,H,27.4103,27.7064,27.3948,27.3661
40,H,29.5815,29.2659,29.3141,29.4104
41,H,29.1959,29.7301,29.2554,29.856
42,H,30.5322,29.6779,30.3739,29.608
43,H,30.1036,30.509,29.6044,30.5242
44,H,29.7284,30.0354,30.3185,30.0268
45,H,26.5369,25.9125,26.6628,26.1014
46,H,26.4832,26.3205,26.5564,26.2884
47,H,31.4074,31.1886,31.4593,31.6239
48,H,30.5365,30.5374,30.428,30.8478
49,H,30.5451,30.7382,30.4632,30.447
50,H,30.7293,30.5991,30.4183,30.509
51,H,30.7145,30.6024,30.6513,30.6232
52,H,30.7778,30.6966,30.7497,30.7673
53,H,30.5712,30.7626,30.7371,30.7532
54,H,31.0504,30.9599,31.0803,31.0376
55,H,30.3281,30.3526,31.0402,30.8775
56,H,30.3031,30.3107,30.3182,29.8728
57,H,31.0194,31.0326,30.3216,30.8312
